                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.882,                 4.7057,                 1.2985,                      0,                      0,                      0,                      0,                 1.6713,                 4.9615,                 1.6076,                 0.0955,                 0.0005,                 0.0005
                      1,                 1.6918,                  4.318,                 1.2329,                0.00073,                0.53571,                  0.001,                0.00034,                 1.4202,                 4.6647,                 1.4156,               0.090064,              0.0010637,              0.0010637
                      2,                  1.628,                 3.7413,                 1.1342,                0.00133,                0.60714,                0.00144,                0.00079,                 1.3067,                 4.4297,                 1.2509,               0.084588,              0.0015878,              0.0015878
                      3,                 1.5498,                 2.7863,                 1.1087,                0.00331,                0.85714,                0.00351,                0.00183,                 1.3459,                 4.4741,                 1.2465,               0.079072,              0.0020723,              0.0020723
                      4,                 1.5651,                 2.5344,                  1.157,                 0.0034,                0.96429,                0.00421,                 0.0021,                 1.3992,                 4.2908,                 1.2059,               0.073517,              0.0025172,              0.0025172
                      5,                 1.3889,                 2.3471,                 1.0739,                0.00331,                      1,                0.00469,                0.00244,                 1.4081,                 4.1198,                 1.1334,               0.067922,              0.0029225,              0.0029225
                      6,                  1.416,                 2.1937,                 1.0722,                0.00289,                0.92857,                0.02471,                0.01133,                 1.3552,                 4.1747,                 1.1724,               0.062288,              0.0032882,              0.0032882
                      7,                 1.3893,                 2.1132,                 1.0734,                0.00305,                0.96429,                0.11157,                0.06626,                 1.6929,                 4.1329,                 1.3022,               0.056614,              0.0036143,              0.0036143
                      8,                 1.4632,                 1.9937,                 1.0995,                0.00302,                0.96429,                0.15937,                0.09971,                  1.746,                 4.0329,                 1.3017,               0.050901,              0.0039008,              0.0039008
                      9,                 1.3706,                 1.8121,                 1.0904,                0.00282,                0.92857,                0.23006,                0.12908,                 1.4681,                 4.0121,                 1.2375,               0.045148,              0.0041477,              0.0041477
                     10,                 1.3759,                 1.8836,                 1.1076,                0.00299,                0.96429,                0.43112,                0.22633,                 1.3083,                 3.8413,                 1.2181,               0.039355,               0.004355,               0.004355
                     11,                 1.3325,                 1.7352,                 1.0619,                 0.0028,                0.92857,                 0.4672,                0.21238,                 1.3904,                    3.6,                 1.2305,               0.033523,              0.0045227,              0.0045227
                     12,                 1.3576,                 1.7398,                 1.0843,                0.00269,                0.89286,                0.43457,                0.24328,                 1.4521,                 3.6998,                 1.3169,               0.027651,              0.0046508,              0.0046508
                     13,                 1.2941,                 1.6609,                 1.0405,                0.52402,                0.61641,                0.45034,                 0.1919,                 1.7286,                 3.8369,                 1.4873,               0.021739,              0.0047393,              0.0047393
                     14,                 1.3699,                 1.5203,                 1.0762,                0.77313,                0.03571,                0.41355,                0.20665,                   1.56,                 3.5662,                 1.3732,               0.015788,              0.0047882,              0.0047882
                     15,                 1.3375,                 1.4215,                 1.0913,                0.99781,                0.21429,                0.69796,                 0.4598,                 1.3662,                 3.2033,                 1.2312,              0.0097975,              0.0047975,              0.0047975
                     16,                 1.3417,                 1.3768,                 1.1164,                0.94052,                0.28571,                0.75251,                0.49087,                 1.3472,                 2.9999,                 1.2448,                0.00472,                0.00472,                0.00472
                     17,                 1.2479,                  1.387,                 1.0737,                0.92551,                0.20511,                0.63539,                0.37945,                 1.3988,                 2.9635,                 1.2125,                0.00472,                0.00472,                0.00472
                     18,                 1.2626,                 1.5336,                 1.0377,                0.82906,                0.71815,                0.83311,                0.43079,                 1.6402,                 2.8791,                 1.2679,                0.00439,                0.00439,                0.00439
                     19,                 1.2863,                 1.4338,                 1.0654,                0.84662,                0.55809,                 0.6941,                0.35408,                 1.4948,                 2.9354,                 1.3021,                0.00406,                0.00406,                0.00406
                     20,                 1.2011,                 1.5376,                 1.0344,                0.94265,                 0.6317,                0.82137,                0.31784,                 1.6981,                 2.8187,                 1.3481,                0.00373,                0.00373,                0.00373
                     21,                 1.2829,                  1.402,                 1.0763,                0.79349,                0.72308,                0.96871,                0.59756,                 1.5933,                 2.5287,                 1.2645,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.2031,                 1.4275,                 1.0419,                 0.9339,                0.66746,                0.90705,                0.46046,                  1.548,                  2.506,                 1.2623,                0.00307,                0.00307,                0.00307
                     23,                 1.1878,                 1.3753,                 1.0523,                0.86695,                0.87584,                0.87845,                0.54026,                 1.6467,                 2.2797,                 1.3405,                0.00274,                0.00274,                0.00274
                     24,                 1.1725,                 1.2965,                   1.02,                0.91492,                0.85522,                0.91214,                0.52166,                 1.6237,                 2.1005,                  1.272,                0.00241,                0.00241,                0.00241
                     25,                 1.1844,                 1.3332,                 1.0498,                0.79834,                0.85714,                0.88489,                0.65127,                  1.407,                  1.988,                 1.2015,                0.00208,                0.00208,                0.00208
                     26,                 1.2135,                 1.3377,                 1.0396,                0.81075,                0.82143,                0.86479,                0.61241,                 1.4316,                  2.007,                 1.2188,                0.00175,                0.00175,                0.00175
                     27,                 1.1459,                 1.2566,                0.99408,                0.88191,                0.77472,                0.82087,                 0.5099,                 1.5729,                 2.1184,                 1.2283,                0.00142,                0.00142,                0.00142
                     28,                 1.1638,                 1.2124,                 1.0129,                0.88465,                0.77985,                0.82336,                0.55066,                 1.5709,                 2.0558,                 1.2586,                0.00109,                0.00109,                0.00109
                     29,                 1.1903,                 1.2125,                  1.034,                0.92219,                0.71954,                0.84719,                0.56421,                 1.5565,                 2.0596,                 1.2581,                0.00076,                0.00076,                0.00076
